roc_lookback_bars,min_move_pct,volume_mult,take_profit_pct,stop_loss_pct,max_hold_bars,total_return_pct,n_trades,win_rate_pct,avg_return_per_trade_pct,final_capital,tp_hits,sl_hits,timeouts
5,0.0015,3.0,0.005,0.003,20,-3.8,29,55.2,-0.0334,9620.0,0,7,22
2,0.0015,2.0,0.005,0.003,10,-3.8,33,48.5,-0.0173,9620.0,0,5,28
3,0.0015,2.0,0.005,0.003,30,-3.8,33,42.4,-0.017,9620.0,3,9,21
3,0.0015,3.0,0.005,0.003,30,-3.8,24,37.5,-0.0611,9620.0,1,7,16
1,0.0015,,0.003,0.003,20,-3.82,40,45.0,0.0028,9618.0,5,3,32
2,0.0015,2.0,0.003,0.003,30,-3.85,33,48.5,-0.0186,9615.0,7,10,16
5,0.002,2.0,0.003,0.003,30,-3.9,31,48.4,-0.0282,9610.0,7,9,15
5,0.0015,3.0,0.003,0.003,30,-3.94,29,48.3,-0.0384,9606.0,5,9,15
2,0.0015,2.0,0.003,0.003,20,-3.97,33,48.5,-0.0225,9603.0,4,8,21
5,0.002,2.0,0.003,0.003,20,-4.01,31,51.6,-0.0319,9599.0,4,8,19
3,0.0015,2.0,0.003,0.002,10,-4.05,37,45.9,-0.0115,9595.0,2,10,25
2,0.002,,0.005,0.002,30,-4.07,39,41.0,-0.0064,9593.0,5,17,17
5,0.0015,2.0,0.005,0.002,20,-4.08,41,48.8,-0.0013,9592.0,3,15,23
3,0.0015,2.0,0.005,0.002,10,-4.08,37,45.9,-0.0124,9592.0,0,10,27
3,0.0015,2.0,0.003,0.002,20,-4.1,36,47.2,-0.0161,9590.0,4,13,19
2,0.002,,0.005,0.003,30,-4.1,37,45.9,-0.0129,9590.0,4,10,23
5,0.003,,0.003,0.003,10,-4.11,32,37.5,-0.0311,9589.0,4,6,22
2,0.0015,3.0,0.005,0.002,30,-4.13,24,29.2,-0.0753,9587.0,1,13,10
3,0.0015,3.0,0.005,0.002,30,-4.15,25,32.0,-0.0693,9585.0,1,10,14
1,0.0015,,0.005,0.002,20,-4.17,40,40.0,-0.0063,9583.0,1,13,26
5,0.0015,3.0,0.005,0.003,30,-4.17,28,42.9,-0.052,9583.0,1,9,18
5,0.003,,0.003,0.002,30,-4.19,32,40.6,-0.0336,9581.0,5,13,14
5,0.0015,2.0,0.005,0.002,30,-4.23,41,41.5,-0.0053,9577.0,4,15,22
3,0.0015,2.0,0.003,0.003,10,-4.31,37,45.9,-0.019,9569.0,2,6,29
3,0.0015,2.0,0.003,0.002,30,-4.32,36,41.7,-0.0223,9568.0,6,13,17
5,0.0015,3.0,0.005,0.002,30,-4.33,29,37.9,-0.0525,9567.0,1,12,16
3,0.0015,2.0,0.005,0.003,10,-4.35,37,45.9,-0.0199,9565.0,0,6,31
2,0.002,,0.005,0.002,20,-4.37,39,38.5,-0.0144,9563.0,3,16,20
5,0.0015,2.0,0.003,0.002,10,-4.37,43,48.8,-0.0038,9563.0,4,12,27
2,0.002,,0.003,0.002,10,-4.38,40,42.5,-0.0118,9562.0,2,10,28
2,0.002,,0.005,0.002,10,-4.41,40,42.5,-0.0126,9559.0,0,10,30
5,0.003,,0.003,0.002,20,-4.42,32,31.2,-0.041,9558.0,5,12,15
5,0.003,,0.003,0.003,30,-4.42,32,43.8,-0.0409,9558.0,6,8,18
5,0.0015,2.0,0.003,0.002,20,-4.44,43,51.2,-0.0055,9556.0,6,15,22
3,0.0015,2.0,0.003,0.003,20,-4.46,36,50.0,-0.0265,9554.0,4,9,23
2,0.002,,0.005,0.003,20,-4.47,37,40.5,-0.0233,9553.0,3,6,28
1,0.0015,,0.003,0.003,30,-4.48,39,46.2,-0.0172,9552.0,7,10,22
3,0.0015,2.0,0.003,0.003,30,-4.5,36,44.4,-0.0276,9550.0,7,10,19
