lookback,take_profit_pct,stop_loss_pct,max_hold_bars,trend_ema_period,total_return_pct,n_trades,win_rate_pct,avg_return_per_trade_pct,final_capital,tp_hits,sl_hits,timeouts
5,0.003,0.002,30,120.0,-18.88,186,42.5,-0.0123,8112.0,25,53,108
5,0.002,0.002,45,120.0,-18.9,167,43.7,-0.0253,8110.0,45,62,60
5,0.004,0.0015,45,60.0,-18.91,183,39.3,-0.0143,8109.0,18,95,70
15,0.002,0.002,30,120.0,-18.91,164,41.5,-0.0277,8109.0,30,48,86
30,0.002,0.002,20,,-18.94,195,44.6,-0.0076,8106.0,31,36,128
20,0.004,0.0015,20,60.0,-18.95,199,39.2,-0.0054,8105.0,11,58,130
15,0.003,0.0015,20,120.0,-19.0,185,38.9,-0.0138,8100.0,14,55,116
10,0.003,0.003,45,60.0,-19.01,159,45.9,-0.0324,8099.0,27,39,93
10,0.004,0.0015,20,120.0,-19.04,201,37.8,-0.0049,8096.0,11,54,136
20,0.004,0.003,20,120.0,-19.06,165,40.6,-0.028,8094.0,6,19,140
20,0.003,0.0015,45,,-19.11,187,37.4,-0.0133,8089.0,27,90,70
5,0.002,0.0015,45,120.0,-19.12,184,42.4,-0.0152,8088.0,50,91,43
20,0.004,0.002,45,,-19.21,178,37.1,-0.0196,8079.0,20,73,85
30,0.003,0.003,20,,-19.22,186,43.5,-0.0146,8078.0,17,21,148
15,0.003,0.0015,30,60.0,-19.26,191,40.3,-0.0118,8074.0,23,73,95
15,0.003,0.003,45,60.0,-19.28,153,41.8,-0.0398,8072.0,24,41,88
20,0.002,0.003,30,120.0,-19.31,154,42.9,-0.0391,8069.0,30,27,97
10,0.006,0.002,30,60.0,-19.34,188,38.8,-0.0141,8066.0,6,56,126
15,0.006,0.003,30,60.0,-19.36,175,42.3,-0.0227,8064.0,7,31,137
15,0.006,0.0015,45,,-19.38,201,34.3,-0.007,8062.0,12,102,87
15,0.003,0.002,30,60.0,-19.39,186,41.9,-0.0157,8061.0,25,55,106
10,0.004,0.002,20,120.0,-19.43,199,39.2,-0.0084,8057.0,11,41,147
20,0.003,0.002,30,60.0,-19.48,178,41.0,-0.0215,8052.0,22,55,101
15,0.004,0.003,20,120.0,-19.59,181,39.8,-0.0203,8041.0,8,16,157
30,0.002,0.003,20,60.0,-19.69,177,43.5,-0.0237,8031.0,26,21,130
20,0.002,0.002,20,120.0,-19.69,175,41.1,-0.0252,8031.0,23,42,110
15,0.002,0.0015,45,60.0,-19.7,183,39.9,-0.0198,8030.0,45,88,50
10,0.002,0.003,30,120.0,-19.7,170,42.9,-0.0289,8030.0,33,27,110
30,0.006,0.0015,10,60.0,-19.73,227,42.3,0.0033,8027.0,2,25,200
15,0.003,0.002,20,120.0,-19.77,185,40.0,-0.0189,8023.0,14,39,132
20,0.003,0.003,20,120.0,-19.77,168,41.1,-0.0309,8023.0,11,19,138
20,0.006,0.003,30,60.0,-19.79,169,40.8,-0.0303,8021.0,6,30,133
5,0.006,0.002,30,60.0,-19.79,208,42.3,-0.0058,8021.0,8,62,138
10,0.006,0.0015,30,60.0,-19.79,197,37.1,-0.0117,8021.0,6,83,108
5,0.006,0.003,30,60.0,-19.83,200,43.5,-0.0103,8017.0,8,35,157
20,0.006,0.002,20,60.0,-19.85,198,38.9,-0.0116,8015.0,6,42,150
15,0.006,0.0015,20,60.0,-19.88,213,38.5,-0.0039,8012.0,6,59,148
20,0.003,0.0015,20,60.0,-19.89,204,40.2,-0.0086,8011.0,18,60,126
10,0.004,0.003,20,120.0,-19.94,196,40.3,-0.0133,8006.0,11,18,167
30,0.004,0.0015,10,60.0,-19.94,227,42.3,0.0021,8006.0,6,25,196
15,0.002,0.002,45,60.0,-19.95,174,42.5,-0.0277,8005.0,47,65,62
5,0.003,0.0015,45,60.0,-19.97,191,39.8,-0.0165,8003.0,29,98,64
5,0.003,0.003,45,60.0,-19.99,169,46.7,-0.0317,8001.0,29,40,100
20,0.004,0.002,20,60.0,-19.99,199,39.2,-0.0119,8001.0,11,41,147
20,0.006,0.003,45,,-20.02,167,37.7,-0.0334,7998.0,10,47,110
15,0.004,0.002,45,,-20.03,195,40.0,-0.0144,7997.0,22,76,97
15,0.004,0.0015,45,,-20.04,207,36.7,-0.0078,7996.0,23,103,81
